,City,Latitude,Longitude,Current Temp (F),Humidity,Clouds,Wind
481,San Carlos de Bariloche,-41.13,-71.31,68.0,20,40,29.97
482,Eten,-6.91,-79.86,80.6,61,0,23.04
483,Turukhansk,65.8,87.96,13.85,84,76,14.94
484,Kushima,31.5,131.29,44.0,100,24,10.47
485,Najran,17.54,44.22,68.0,15,0,2.19
486,Praia da Vitoria,38.73,-27.07,62.6,77,20,12.03
487,Kandrian,-6.21,149.55,76.27,98,0,2.42
488,Roebourne,-20.77,117.15,79.55,74,8,3.98
489,Katsuura,33.93,134.5,42.8,97,75,5.82
490,Ferme-Neuve,46.7,-75.45,20.92,82,88,4.43
491,Vestmanna,62.16,-7.17,37.4,74,92,3.36
492,Hamilton,32.3,-64.78,66.2,63,75,9.17
493,Saint-Georges,46.12,-70.67,15.38,73,64,2.64
494,Sinnamary,5.38,-52.96,78.92,97,92,9.8
495,Kuopio,62.89,27.68,21.2,85,90,6.93
496,Tulun,54.56,100.58,-4.74,77,0,4.54
497,Ercis,39.03,43.36,37.4,55,75,5.82
498,North Platte,41.12,-100.77,46.94,35,1,9.17
499,Kinango,-4.13,39.32,80.6,83,75,8.05
500,Beaverlodge,55.21,-119.43,10.4,85,90,5.82
501,Leningradskiy,69.38,178.42,-2.98,87,80,23.33
502,Jiamusi,46.81,130.37,-1.09,67,76,11.03
503,Srednekolymsk,67.46,153.71,-31.15,53,24,2.64
504,Shiyan,32.65,110.78,17.32,71,68,2.08
505,Dong Hoi,17.48,106.6,71.5,100,76,6.55
506,Ambilobe,-13.19,49.05,71.45,85,8,5.1
507,San Jose,15.79,120.99,66.73,89,20,2.86
508,Iwanai,42.97,140.51,28.25,100,56,24.56
509,Upington,-28.46,21.24,86.0,13,0,3.36
510,Ankpa,7.37,7.63,73.25,67,0,1.86
511,Kassala,15.45,36.38,67.27,62,0,4.43
512,Ulladulla,-35.36,150.48,69.8,100,0,2.3
513,Grindavik,63.84,-22.43,32.0,100,90,19.46
514,Natal,-5.81,-35.21,86.0,58,40,19.46
515,Xining,36.62,101.77,-1.54,34,0,7.23
516,Brigantine,39.41,-74.36,37.22,40,1,5.82
517,Lasa,34.92,32.53,56.25,82,75,14.99
518,Clyde River,70.47,-68.59,-27.41,74,40,8.05
519,Sibolga,1.74,98.78,67.4,100,92,1.74
520,Paripiranga,-10.68,-37.86,80.9,57,0,12.03
521,Ifanadiana,-21.3,47.64,68.21,99,100,1.86
522,Jackville,5.21,-4.42,84.2,83,40,8.05
523,San Pedro,-33.68,-59.66,74.65,85,48,11.92
524,Omsukchan,62.53,155.8,-42.94,0,8,2.42
525,Fare,-16.7,-151.02,83.83,98,92,14.38
526,Nha Trang,12.24,109.19,73.4,94,75,8.05
527,Maymyo,22.03,96.47,44.09,85,0,1.97
528,Inta,66.04,60.13,15.65,78,80,4.43
529,Cidreira,-30.17,-50.22,82.07,84,48,7.23
530,Burns Lake,54.23,-125.76,20.51,89,56,2.98
531,Buckeye,33.37,-112.58,62.38,72,75,8.05
532,Ust-Kuyga,70.0,135.55,-60.13,0,0,2.75
